Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","351","Chine","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","1445523.929","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","351","Chine","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","1452625.244","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","96","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","7243.542","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","96","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","7306.322","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","128","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","612.836","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","128","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","622.585","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","41","Chine, continentale","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","1414049.351","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","41","Chine, continentale","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","1421021.791","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","214","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","23618.2","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","214","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","23674.546","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","50","Chypre","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","1170.187","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","50","Chypre","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","1179.678","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","44","Colombie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","48175.052","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","44","Colombie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","48909.839","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","45","Comores","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","795.592","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","45","Comores","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","813.892","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","46","Congo","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","4980.996","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","46","Congo","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","5110.695","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","48","Costa Rica","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","4899.345","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","48","Costa Rica","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","4949.954","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","107","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","23822.714","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","107","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","24437.47","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","98","Croatie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","4208.602","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","98","Croatie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","4182.857","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","49","Cuba","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","11335.104","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","49","Cuba","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","11339.254","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","279","Curaçao","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","161.052","X","Sources internationales sûres",""
