Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5142","Nourriture","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","228.6","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5142","Nourriture","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","205.71","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","645","Disponibilité alimentaire en quantité (kg/personne/an)","2763","Poissons Pelagiques","2016","2016","kg","2.78","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","645","Disponibilité alimentaire en quantité (kg/personne/an)","2763","Poissons Pelagiques","2017","2017","kg","2.49","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2763","Poissons Pelagiques","2016","2016","Kcal/personne/jour","8","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2763","Poissons Pelagiques","2017","2017","Kcal/personne/jour","7","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2763","Poissons Pelagiques","2016","2016","g/personne/jour","0.88","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2763","Poissons Pelagiques","2017","2017","g/personne/jour","0.79","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2763","Poissons Pelagiques","2016","2016","g/personne/jour","0.42","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2763","Poissons Pelagiques","2017","2017","g/personne/jour","0.38","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","5511","Production","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","276.36","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","5511","Production","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","316.46","Im","Données de la FAO basées sur une méthodologie d'imputation"
